in s,C1 in V
-1.1882706E+01,6.35254E-01
-1.1882532E+01,6.35254E-01
-1.1882358E+01,6.25488E-01
-1.1882184E+01,6.35254E-01
-1.1882010E+01,6.45020E-01
-1.1881836E+01,6.25488E-01
-1.1881662E+01,6.25488E-01
-1.1881488E+01,6.35254E-01
-1.1881314E+01,6.20605E-01
-1.1881140E+01,6.25488E-01
-1.1880966E+01,6.40137E-01
-1.1880792E+01,7.03613E-01
-1.1880618E+01,8.69629E-01
-1.1880444E+01,9.33105E-01
-1.1880270E+01,9.52637E-01
-1.1880096E+01,9.77051E-01
-1.1879922E+01,9.08691E-01
-1.1879748E+01,7.32910E-01
-1.1879574E+01,6.79199E-01
-1.1879400E+01,6.74316E-01
-1.1879226E+01,6.64551E-01
-1.1879052E+01,6.84082E-01
-1.1878878E+01,6.74316E-01
-1.1878704E+01,6.54785E-01
-1.1878530E+01,6.40137E-01
-1.1878356E+01,6.35254E-01
-1.1878182E+01,6.15723E-01
-1.1878008E+01,6.20605E-01
-1.1877834E+01,6.20605E-01
-1.1877660E+01,6.30371E-01
-1.1877486E+01,6.30371E-01
-1.1877312E+01,6.35254E-01
-1.1877138E+01,6.40137E-01
-1.1876964E+01,8.54980E-01
-1.1876790E+01,9.37988E-01
-1.1876616E+01,9.62402E-01
-1.1876442E+01,9.67285E-01
-1.1876268E+01,9.62402E-01
-1.1876094E+01,7.37793E-01
-1.1875920E+01,6.84082E-01
-1.1875746E+01,6.88965E-01
-1.1875572E+01,6.84082E-01
-1.1875398E+01,6.74316E-01
-1.1875224E+01,6.74316E-01
-1.1875050E+01,6.49902E-01
-1.1874876E+01,6.54785E-01
-1.1874702E+01,6.30371E-01
-1.1874528E+01,6.35254E-01
-1.1874354E+01,6.25488E-01
-1.1874180E+01,6.30371E-01
-1.1874006E+01,6.25488E-01
-1.1873832E+01,6.40137E-01
-1.1873658E+01,6.25488E-01
-1.1873484E+01,6.40137E-01
-1.1873310E+01,6.25488E-01
-1.1873136E+01,6.20605E-01
-1.1872962E+01,6.30371E-01
-1.1872788E+01,6.30371E-01
-1.1872614E+01,6.40137E-01
-1.1872440E+01,7.42676E-01
-1.1872266E+01,9.23340E-01
-1.1872092E+01,9.52637E-01
-1.1871918E+01,9.77051E-01
-1.1871744E+01,9.62402E-01
-1.1871570E+01,9.03809E-01
-1.1871396E+01,7.37793E-01
-1.1871222E+01,6.79199E-01
-1.1871048E+01,6.69434E-01
-1.1870874E+01,6.74316E-01
-1.1870700E+01,6.74316E-01
-1.1870526E+01,6.69434E-01
-1.1870352E+01,6.54785E-01
-1.1870178E+01,6.35254E-01
-1.1870004E+01,6.40137E-01
-1.1869830E+01,6.25488E-01
-1.1869656E+01,6.20605E-01
-1.1869482E+01,6.49902E-01
-1.1869308E+01,6.15723E-01
-1.1869134E+01,6.30371E-01
-1.1868960E+01,6.20605E-01
-1.1868786E+01,6.74316E-01
-1.1868612E+01,8.94043E-01
-1.1868438E+01,9.47754E-01
-1.1868264E+01,9.62402E-01
-1.1868090E+01,9.67285E-01
-1.1867916E+01,9.42871E-01
-1.1867742E+01,7.32910E-01
-1.1867568E+01,6.79199E-01
-1.1867394E+01,6.59668E-01
-1.1867220E+01,6.79199E-01
-1.1867046E+01,6.64551E-01
-1.1866872E+01,6.74316E-01
-1.1866698E+01,6.40137E-01
-1.1866524E+01,6.35254E-01
-1.1866350E+01,6.10840E-01
-1.1866176E+01,6.25488E-01
-1.1866002E+01,6.45020E-01
-1.1865828E+01,6.15723E-01
-1.1865654E+01,6.40137E-01
-1.1865480E+01,6.20605E-01
-1.1865306E+01,6.20605E-01
